ug,gr,ri,iz,zs1,s1s2,ug_err,gr_err,ri_err,iz_err,zs1_err,s1s2_err,label
0.309314959,0.158897437,-0.018185301,0.053124487,1.38089429,0.299420483,0.032609705,0.027479347,0.02884684,0.030996365,0.037867193,0.038897301,1
0.120950773,-0.194766224,0.025966851,0.083603212,1.515876509,0.298042386,0.023351423,0.018771106,0.019900931,0.027532049,0.034431236,0.035355339,1
0.234525998,0.312683236,-0.097208773,-0.04157927,1.147127167,0.533313438,0.0568767,0.036902104,0.041786678,0.10198414,0.112542519,0.084958814,1
0.23627681,-0.033073925,0.183710365,-0.053128725,1.06517578,0.39806418,0.03263154,0.02765399,0.024173979,0.030184004,0.034641248,0.036069378,1
0.472970645,0.415952729,0.030182867,0.045098241,1.135816921,0.547993164,0.03377655,0.02208549,0.021285577,0.032923393,0.042858113,0.042449971,1
0.458242162,0.158626572,-0.136330875,0.283136605,0.797413821,0.281462581,0.039340373,0.024857866,0.022485074,0.043023128,0.056446151,0.066400301,1
0.217443922,0.031960888,0.157208842,0.068953761,1.009715809,0.375149797,0.054922793,0.02896842,0.032856103,0.08777216,0.093307124,0.063253458,1
0.667301074,0.304169538,0.152480356,0.201610036,2.252486816,0.443683081,0.05542367,0.029897386,0.023641754,0.04368577,0.046863529,0.033970576,1
0.208437885,0.171877408,0.067253154,0.033411331,0.590413053,0.565195073,0.044707257,0.030027267,0.033230692,0.056059044,0.071649443,0.071449283,1
0.289373412,0.027024485,-0.026009519,0.136910437,0.866871176,0.450347931,0.034014918,0.025232222,0.023623107,0.037435003,0.047331291,0.048795492,1
0.341401993,0.021934568,0.218878339,-0.070029187,1.880623908,0.249377748,0.0372612,0.026377248,0.025944117,0.0617235,0.065050958,0.04327817,1
0.206402253,-0.004427102,0.073655964,0.085992087,1.854730105,0.373553205,0.035533886,0.027573265,0.023710655,0.034963325,0.03934169,0.036069378,1
0.776956097,-0.214672131,0.053770246,0.283484917,0.114513854,0.324288433,0.10047305,0.04345452,0.052294727,0.12146393,0.171735683,0.222503933,1
0.64072312,0.144535008,0.13465441,0.271263637,0.595539309,0.338802036,0.05425322,0.035265513,0.026171349,0.04643647,0.056337689,0.058137767,1
0.240759732,0.319604905,0.284621028,0.319833082,0.420328953,0.407480639,0.03225322,0.019979518,0.019411102,0.027082987,0.042058993,0.050209561,1
0.334168673,-0.02403587,-0.03869573,0.033994855,1.603389038,0.412363187,0.04169939,0.03434471,0.029701412,0.04308458,0.048697421,0.041012193,1
0.262481938,0.373750594,-0.013602442,0.046042811,1.223696822,0.47250004,0.074368216,0.031751916,0.030715099,0.083851986,0.091611087,0.065855903,1
0.259647708,-0.033207949,0.120664775,-0.020563166,1.471194482,0.362574474,0.042652868,0.032638613,0.03023315,0.04922117,0.052261809,0.041012193,1
0.130141564,0.320254381,0.053798435,0.01226856,0.835515413,0.664405685,0.038972914,0.032026645,0.019344777,0.0345424,0.044116038,0.042426407,1
-0.007600849,0.180478774,0.092800001,0.207517819,-0.11004908,0.390592891,0.039861087,0.038537383,0.026574379,0.037616182,0.058355283,0.078409183,1
0.341392403,-0.134698442,0.186151874,0.054588553,0.977216125,0.30635311,0.040600426,0.029062444,0.030632038,0.05658237,0.064340344,0.058137767,1
2.949189567,1.332876331,0.087058318,-0.100519306,1.17862024,-0.038567552,1.4613369,0.048020463,0.03585657,0.07846059,0.084939397,0.077175126,0
0.740493718,1.113563011,0.940172104,0.178354175,2.400566732,0.392435582,0.20865127,0.05976817,0.03754544,0.07064912,0.071584031,0.038183766,1
0.482832895,0.05909531,0.043304289,0.153880844,1.347162478,0.563285839,0.04474697,0.03232476,0.026844084,0.056062106,0.06151426,0.048836462,1
0.053348726,0.123320987,0.304224431,-0.137992872,1.553896882,0.244353236,0.025799748,0.025615832,0.02062691,0.02938741,0.036249284,0.03471311,1
1.599003393,0.751601765,0.411394486,0.487919611,1.176441945,0.476963804,0.5783742,0.06514855,0.06146373,0.09874019,0.098083276,0.067357256,1
0.486887694,0.36704544,0.133186519,0.13575457,2.221326645,0.53025314,0.05447124,0.02751073,0.024199069,0.04838331,0.052833262,0.036796739,1
0.470093069,0.098601597,0.047087868,-0.035874628,0.7979738,0.639348824,0.02636657,0.026950506,0.021475287,0.022161866,0.02988545,0.035355339,1
0.082885999,-0.024345053,0.17584283,-0.008222313,0.200291415,0.507440355,0.03144493,0.021993669,0.022076862,0.03913002,0.05660617,0.063655322,1
0.446330055,0.310429026,0.427268795,0.144064657,0.754279302,0.453520945,0.048484474,0.02823823,0.02470682,0.047818765,0.054215756,0.049678969,1
0.110683956,0.298013935,0.013869022,-0.071410993,1.549672305,0.559599073,0.03524387,0.023249019,0.026050234,0.06457135,0.070402472,0.04669047,1
